# X,Y
136.76435221210983,-26.389093322075553
134.94976020627786,-29.201555778010857
129.2,-38.2
117.5,-56.8
115.00145370119705,-60.74396390128696
109.3,-69.7
63.23270690619427,-142.1340690819979
63.0,-142.5
55.78428118782854,-153.8458791873807
46.1,-169.1
31.930530334017767,-191.4886273850651
25.4,-201.8
24.07907019280849,-203.88104670532408
19.351396455499334,-211.28895505692412
16.8,-215.3
11.419576864736117,-223.77521857176254
-0.5975176704380074,-242.70277479173905
-5.0,-249.6
-17.336861386474496,-268.65297472804764
-25.3,-280.7
-32.8573023074655,-292.10466010797563
-37.1,-298.5
-51.57493023293441,-320.31009781141296
-51.9,-320.8
-62.544584634708215,-336.81793515921333
-62.8,-337.2
-69.95352547279208,-347.82016604761645
-74.8,-355.0
-79.42182416302633,-361.88143556619605
-86.8,-372.9
-92.9580288542052,-382.0937860585764
-99.8,-392.3
-104.76625173965661,-399.70346810195235
-114.9,-414.8
-119.06837383804736,-420.997951853562
-126.0,-431.3
-127.67662252858284,-433.8013156966919
-140.97162104728352,-453.6621577245804
-146.1,-461.3
-152.83917170554696,-471.2673180516491
-158.28616205264592,-479.35955892920174
-161.2,-483.8
-175.26066454559168,-505.74778688512635
-176.6,-507.9
-182.2,-517.1
-186.21748006664183,-523.9238346507524
-189.5,-529.6
-206.29315940591187,-558.9614267568736
-206.6,-559.5
-213.9125407456203,-572.4610694749674
-218.1,-580.0
-230.31529587168228,-601.9780467613095
-237.4,-614.7
-239.8111344283544,-618.9357563719079
-241.0,-620.9
-248.43940908239898,-633.2275545688157
-252.7,-640.0
-258.08336612743244,-648.0350918083429
-266.3147433014901,-659.2561156565947
-266.5,-659.5
-273.0,-667.5
-278.0261100179717,-672.9774162302299
-285.6,-680.9
-288.3637234092887,-683.6859622389794
-294.4,-688.2
-297.2128644058407,-690.2346490459961
-304.81682449288814,-694.6418393305865
-305.2,-694.8
-319.9,-699.3
-325.5177516618165,-700.4788853448226
-330.6447220771798,-699.7574046799457
-333.4,-699.1
-340.1901616092017,-697.5413818768513
-341.4,-697.2
-351.2,-693.5
-354.2276663108286,-692.1550602695428
-364.3,-687.4
-365.1480337988125,-687.0110427576594
-376.1,-682.1
-384.0642012815948,-678.8604466998892
-390.6,-677.5
-391.1887983055097,-677.4223659603205
-399.4700991941289,-676.7275629044258
-400.8,-676.7
-411.5,-678.0
-419.0224589544323,-680.3921410996898
-429.8,-684.5
-440.3214903589757,-689.7560106128647
-445.8,-693.6
-446.27934532827675,-693.9306719418546
-452.4236898422305,-698.1208779601799
-463.7,-705.9
-471.4368568547453,-711.4408496189847
-473.8,-713.1
-484.3,-720.1
-492.8937736650897,-725.3449481829382
-497.7,-728.1
-503.9441438435062,-731.4728307536404
-509.4,-734.1
-515.1498023936663,-736.6126647463167
-524.1,-740.0
-542.5047101708085,-744.1964451374863
-553.2,-745.5
-562.872712817534,-745.8916922988209
-569.4386665924162,-745.2308525675845
-576.5,-744.2
-587.2636101850578,-742.1577769491449
-589.3,-741.6
-607.7,-735.1
-620.111167766768,-728.9812575012526
-630.4,-721.5
-631.1695811013514,-720.8444973759143
-639.9185830163445,-712.4334030304542
-652.0009398129152,-697.5933168722206
-654.7,-693.5
-660.6809527312205,-682.3991567521425
-664.741155700451,-672.6073137463877
-665.3,-671.1
-669.2845484363893,-657.592987167649
-671.3,-646.9
-670.5,-581.5
-668.0486064752233,-567.4981508342253
-665.9,-556.2
-664.1867192867436,-547.8358033670097
-662.0,-540.0
-660.64373869898,-535.4270304083666
-656.0,-521.0
-653.3296074821825,-514.1089817334718
-646.9185352399784,-500.27698870572203
-646.0,-498.5
-641.4,-490.3
-630.055977022559,-472.7599955902484
-625.0,-465.2
-618.4404666540315,-455.7504021110648
-615.9,-452.3
-604.9854228184854,-437.3642162858665
-602.8,-434.2
-594.3,-420.9
-592.9624821984302,-418.66910909203926
-584.9578313465558,-404.8327119907732
-583.7,-402.7
-571.5959591626552,-382.7035037854911
-570.3,-380.6
-555.8,-358.0
-555.3714449452758,-357.3629780719751
-549.8595703410581,-349.33970835306854
-546.8,-344.9
-541.7787829761397,-337.5812108600679
-539.8,-334.7
-530.0503320122915,-321.114700348547
-529.8,-320.8
-520.7230777771485,-310.10058713202625
-515.3,-304.1
-511.13781396160556,-299.9138438777744
-507.1,-296.9
-504.245270207541,-294.8745018282463
-498.6,-291.2
-497.07983868123966,-290.3559625044535
-487.9,-286.5
-486.3602369350312,-286.011458846545
-479.7,-284.4
-479.00406096933057,-284.28573604266444
-469.6659000111239,-283.71064308178285
-467.6,-283.8
-458.8913807230604,-285.04714351687176
-457.8,-285.3
-448.4,-288.4
-445.3696746881454,-289.7704067661021
-436.6,-295.0
-436.08948685626444,-295.37793564539777
-431.8,-298.9
-426.4696299786345,-304.39350540232556
-426.3,-304.6
-415.5,-319.2
-413.8474355965374,-321.686120982002
-410.6249349307526,-327.6819644629565
-408.88608600297584,-332.693289987163
-408.2,-334.7
-406.9,-338.6
-406.39413340748223,-340.27174747917337
-403.63449143009365,-352.9221871847495
-403.3,-355.4
-402.6,-365.3
-402.58690848289245,-366.02772266579007
-402.8,-374.4
-402.8537105646368,-375.1459721515108
-404.5,-386.9
-405.9,-392.6
-407.52239287475896,-398.0029471001834
-411.67138514826064,-409.28688533691945
-411.8,-409.6
-419.8,-425.0
-429.0163521155494,-438.70825631835123
-431.5,-442.3
-437.8437191329522,-451.2239096233992
-442.3,-457.2
-444.73100216131223,-460.55367416265835
-450.2,-468.1
-454.7309608975462,-474.28939109225064
-464.8,-488.0
-467.9745544014806,-492.4050342339412
-469.7,-494.8
-479.8,-508.6
-481.28145398505876,-510.6209917458021
-489.9,-522.5
-493.37694523650026,-527.4443658469585
-502.80484463738657,-541.2344567129977
-504.5,-543.8
-509.80682506296506,-552.5147170469459
-512.4,-557.4
-514.9,-562.3
-516.6445615378552,-566.1364118614521
-517.7,-568.7
-521.8,-582.2
-521.9078445853289,-582.7387117321621
-522.7,-588.6
-522.7,-592.7
-522.61029832495,-595.1116640197515
-521.5,-601.3
-519.7809019878325,-605.446906610311
-516.6,-611.6
-513.790602488405,-615.592638215334
-511.1,-617.5
-503.3,-622.1
-502.8031962231098,-622.3056486595005
-492.0656951739385,-624.7987696637109
-488.8,-625.2
-485.2027096529637,-625.3879103126221
-480.6,-624.8
-480.20661813626486,-624.7395281814464
-478.7,-624.5
-472.3373670077052,-623.2673780306221
-469.4,-622.5
-461.3201628459854,-619.6723840230169
-460.4,-619.3
-452.5,-615.8
-451.2737854592609,-615.2265605451862
-445.7,-612.5
-437.28388223591963,-607.9887385330117
-434.2,-606.3
-425.9945299756716,-601.7741278398879
-419.6,-598.3
-414.46075041781233,-595.567098900443
-408.2,-592.3
-401.9596548417639,-589.1116427571404
-396.1,-586.2
-390.2,-583.4
-380.9202635670338,-579.3296710858338
-370.7,-575.0
-361.7995837939669,-571.3282707840827
-357.0,-569.3
-352.9717751077272,-567.559129193019
-346.5,-564.7
-334.9,-559.2
-334.0353231841158,-558.7613387729593
-322.4848735417296,-552.4666462643228
-322.2,-552.3
-312.0,-545.9
-308.9332152194574,-543.7812934393799
-300.9,-537.9
-296.218508610693,-534.3610530991302
-284.5227808573594,-524.306082929307
-279.9,-519.6
-272.0968145674867,-511.25312728286735
-268.4,-507.2
-253.09728299323916,-489.55805117697093
-230.5,-455.4
-227.0054375040229,-450.2234457565957
-222.3,-443.2
-218.55953304013633,-437.30148443932137
-213.7,-428.4
-211.94590679269044,-424.0917367695894
-210.7,-420.1
-209.50014578689084,-414.5205526649979
-208.5,-406.3
-208.1745704242262,-401.04242421855486
-208.2,-397.5
-209.4,-383.7
-209.5946138401504,-382.17902096234786
-210.96833938200047,-376.6727523810372
-212.1,-374.6
-214.44294202419715,-370.94153886039464
-220.27422995484002,-362.94857871042086
-224.6,-357.8
-226.80697553326118,-355.56563548484274
-235.3,-349.6
-237.30022178591344,-348.19978669036266
-244.2,-343.2
-245.61211177473723,-342.1494565888503
-251.5,-337.6
-255.05170237393025,-334.5850284748131
-257.7,-332.0
-270.7901861105669,-316.15063598100267
-272.8,-313.3
-279.13397685787766,-302.35215517527513
-283.50613886597046,-292.2505287925764
-284.1,-290.9
-287.2599217198678,-283.79931956830643
-292.8006088230374,-271.66869085289716
-293.3,-270.6
-299.4,-257.9
-299.7905056643431,-257.08366668309407
-304.8342971586477,-246.47814469941846
-310.8,-233.9
-314.8366537110782,-225.40146702761007
-321.4,-211.6
-331.9417373733041,-189.45366925513983
-337.2,-178.4
-338.35007079781263,-175.97657237537084
-340.7,-170.5
-341.84773727233403,-167.55357192303617
-346.01571047797796,-156.05964204394684
-347.0,-152.8
-349.4305365261409,-142.0196937386158
-349.5,-141.6
-350.9,-122.8
-350.88347099424357,-121.76515159168298
-349.7512969716147,-107.0266146472677
-349.7,-106.6
-346.6314093670781,-89.8902076536849
-346.5,-89.4
-339.8286493898389,-69.14344269470197
-339.7,-68.8
-335.54158575274283,-59.493822323876074
-332.6,-54.8
-323.0,-41.5
-313.7156365330767,-32.8736316417576
-308.9,-29.6
-304.6463916137416,-27.056122192797865
-293.92534175384435,-21.753298385515574
-289.9,-20.0
-269.40011722754275,-11.827931924793138
-261.7,-8.8
-256.8615659564722,-6.84270912833068
-249.79326634275793,-3.6608764450816706
-245.3,-1.6
-238.5,1.5
-237.51950499333392,1.9549628884713297
-226.1,7.4
-215.4312357197732,12.465164673247617
-203.7,18.0
-201.23342194693737,19.16466177752856
-185.3,26.7
-178.39075370545856,29.97799599460881
-169.5,34.2
-161.75365438589682,37.87458916707294
-157.9,39.7
-134.5,50.8
-130.7790471003555,52.58392175667674
-117.16283439356923,59.22401111028701
-107.29201882355528,64.23544988874144
-100.6,67.7
-91.85418902806485,72.2971620045916
-81.37280466543447,77.87133039904009
-78.5,79.4
-64.89176267513395,86.64274792874144
-53.2,92.9
-46.28220604624967,96.620392078402
-41.3,99.3
-21.7,109.8
-16.40269105214282,112.6191723849494
-4.553474743185947,118.89892328875176
-0.4,121.1
17.9,130.8
25.231604755508776,134.68176874113473
39.5,142.0
44.902553129689565,144.6218643944813
61.8,152.4
68.0,155.0
70.56355062515078,156.0563876834579
82.07757721947573,160.70645521691284
91.6,164.5
97.32753032104864,166.78070807127793
102.3,168.8
108.76246492071255,171.53627667532015
115.6,174.7
125.19852339463523,179.99355347112382
133.32797913479212,185.75526363556145
133.5,185.9
142.70649225757506,197.32937975732742
143.1,198.1
146.07038743718425,207.7122962869883
146.1,207.9
146.4,215.1
145.8439961936338,218.83882281661081
144.2,226.3
144.0751617356876,226.8189819260334
142.36897703028228,231.4951160249496
141.7,232.6
136.93244831293828,239.90643070918463
132.8,246.0
131.06167602750358,248.45893997816324
127.28303434408876,251.73582292827595
126.5,252.3
119.77874600518922,256.9820369346675
119.6,257.1
113.63864279521754,260.425678533761
109.0,261.9
107.16715646482217,262.41182870028547
102.6,263.6
97.27262873485886,264.7315498560815
95.1,265.0
79.83444022910615,265.9862413917015
79.6,266.0
75.66604211679164,266.28891492920593
70.8,265.4
67.00827291370916,264.6762499717943
55.0,262.3
46.69892879019166,260.15474310737085
43.33856100686804,258.45538053502446
41.8,257.7
28.4,250.9
26.75410184783407,249.92948853388253
21.8,246.8
12.3,240.4
9.88289192575234,238.686836149397
1.8,233.0
-8.940536102581358,226.16602512354842
-10.7,225.1
-24.388219103180113,217.48435528636998
-66.73720132404205,212.7333183077937
-69.1,213.2
-75.52859587110744,214.76227137243959
-78.3,215.9
-82.68006531706405,218.26888162827035
-89.2,222.6
-93.65042494260773,226.37129994934108
-96.19227109292696,230.213985746898
-96.9,231.4
-100.0,237.0
-100.20503470597912,237.42059327454518
-102.2,242.1
-102.36050766328748,242.53179750105974
-103.81997238825439,247.37203064888212
-104.4,251.0
-105.1371679795986,259.76799281368795
-105.2,261.0
-104.44507540945759,269.88159606993605
-104.3,270.6
-102.15759936063469,280.10734047527984
-102.1,280.3
-99.6,287.1
-96.1,294.6
-94.98659735687686,296.6222176606512
-91.7,301.9
-91.32555019760589,302.45449254332095
-85.2,310.7
-78.39390947821086,318.22000122306275
-78.1,318.5
-66.0,329.3
-59.96538025016126,334.41426321418186
-55.568101171873195,337.67512321518836
-51.6,340.7
-39.8,349.8
-37.157471871508335,351.8846904470226
-22.173220104988506,364.5516577433173
-17.7,368.5
-14.327040182865636,371.3713869150081
-11.9,373.4
-6.761031493345456,377.70402715032907
-1.1,382.4
10.936511017993556,392.09742376415494
21.0,399.0
28.4470541982623,403.1760187933069
47.44311717284533,411.0117858861693
49.1,411.5
57.272640289921185,413.33896650868
71.2,414.1
80.87798870129356,413.3954139263607
82.7,413.2
93.99398528857128,411.516053428633
103.8,408.7
119.06001172675374,402.80220045965746
122.9,401.2
133.5,396.1
141.75980099626327,391.6266680615919
151.5,385.9
158.77237795951538,381.37537698408835
171.6,373.2
174.3108360539471,371.46530746457125
187.09138613334176,363.186382372775
195.8,357.6
196.72686277422181,357.0108425430223
201.0,354.3
207.21091875400867,350.365363699915
215.2,345.3
232.31625874430492,333.9940515539623
235.8,331.4
252.3901604264779,317.98956260436216
254.3,316.3
266.4816797059505,303.67358442302054
272.5,295.7
278.47207266347596,285.7339093843474
280.4,281.2
283.0616381496402,273.641131473264
287.4,256.2
288.25647322279053,249.04508780798966
288.4,247.1
288.5,235.3
288.4411705222538,234.20811426496994
286.1,218.9
282.8767555003523,208.4709999391651
276.5,192.0
270.6945172757908,180.0720455402107
263.0,168.1
253.86808449348263,154.01209423602648
252.3,151.6
239.84733079358543,132.66973154405392
236.5,127.5
229.30475245661924,116.29358682158798
228.2,114.6
225.7,110.8
217.8908674179679,98.79641875395501
216.4,96.5
203.56185425085113,76.75309358627821
201.9,74.2
194.2511475645933,62.48977805501138
189.7958503092869,55.7007790849373
184.6,47.7
178.4875985024054,38.2764297753687
171.5,27.5
165.35736959304404,18.035717660538026
160.9,11.1
147.92259327967514,-9.097947837366764
147.6,-9.6
